date,product_code,product,variant,sold_quantity,gross_price,gross_price_total
2020-09-01,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,202,19.0573,3849.57
2020-09-01,A0118150102,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Plus,162,21.4565,3475.95
2020-09-01,A0118150103,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Premium,193,21.7795,4203.44
2020-09-01,A0118150104,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache","Premium Plus",146,22.9729,3354.04
2020-09-01,A0219150201,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Standard,149,23.6987,3531.11
2020-09-01,A0219150202,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Plus,107,24.7312,2646.24
2020-09-01,A0220150203,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",Premium,123,23.6154,2904.69
2020-09-01,A0320150301,"AQ Zion Saga",Standard,146,23.7223,3463.46
2020-09-01,A0321150302,"AQ Zion Saga",Plus,236,27.1027,6396.24
2020-09-01,A0321150303,"AQ Zion Saga",Premium,137,28.0059,3836.81
2020-09-01,A0418150103,"AQ Mforce Gen X","Standard 3",23,19.5235,449.04
2020-09-01,A0418150104,"AQ Mforce Gen X","Plus 1",82,19.9239,1633.76
2020-09-01,A0418150105,"AQ Mforce Gen X","Plus 2",86,20.0766,1726.59
2020-09-01,A0418150106,"AQ Mforce Gen X","Plus 3",48,19.9365,956.95
2020-09-01,A0519150201,"AQ Mforce Gen Y","Standard 1",138,22.3984,3090.98
2020-09-01,A0519150202,"AQ Mforce Gen Y","Standard 2",72,24.9298,1794.95
2020-09-01,A0519150203,"AQ Mforce Gen Y","Standard 3",38,26.5871,1010.31
2020-09-01,A0519150204,"AQ Mforce Gen Y","Plus 1",149,26.1081,3890.11
2020-09-01,A0519150205,"AQ Mforce Gen Y","Plus 2",29,29.7008,861.32
2020-09-01,A0519150206,"AQ Mforce Gen Y","Plus 3",28,31.2439,874.83
2020-09-01,A0519150207,"AQ Mforce Gen Y","Premium 1",171,32.4427,5547.70
2020-09-01,A0519150208,"AQ Mforce Gen Y","Premium 2",118,30.5816,3608.63
2020-09-01,A0619150301,"AQ Mforce Gen Z","Standard 1",51,30.4696,1553.95
2020-09-01,A0619150302,"AQ Mforce Gen Z","Standard 2",191,34.0973,6512.58
2020-09-01,A0620150303,"AQ Mforce Gen Z","Standard 3",167,34.2412,5718.28
2020-09-01,A0620150304,"AQ Mforce Gen Z","Plus 1",122,37.5826,4585.08
2020-09-01,A0620150305,"AQ Mforce Gen Z","Plus 2",173,36.5679,6326.25
2020-09-01,A0620150306,"AQ Mforce Gen Z","Plus 3",182,37.5278,6830.06
2020-09-01,A0621150307,"AQ Mforce Gen Z","Premium 1",177,36.2434,6415.08
2020-09-01,A0621150308,"AQ Mforce Gen Z","Premium 2",166,39.3990,6540.23
2020-09-01,A0721150401,"AQ GT 21",Standard,22,39.3377,865.43
2020-09-01,A0721150402,"AQ GT 21","Plus 1",62,39.1465,2427.08
2020-09-01,A0721150403,"AQ GT 21","Plus 2",57,39.2990,2240.04
2020-09-01,A0721150404,"AQ GT 21",Premium,182,39.1215,7120.11
2020-09-01,A0821150501,"AQ Marquee P3",Standard,120,40.5013,4860.16
2020-09-01,A0821150502,"AQ Marquee P3","Plus 1",106,43.2966,4589.44
2020-09-01,A0821150503,"AQ Marquee P3","Plus 2",172,42.3841,7290.07
2020-09-01,A0821150504,"AQ Marquee P3",Premium,197,44.7044,8806.77
2020-09-01,A0921150601,"AQ Marquee P4",Standard,56,45.0813,2524.55
2020-09-01,A1018150101,"AQ 5000 Series Electron 9 5900X Desktop Processor",Standard,91,111.1036,10110.43
2020-09-01,A1018150102,"AQ 5000 Series Electron 9 5900X Desktop Processor",Plus,51,123.4797,6297.46
2020-09-01,A1018150103,"AQ 5000 Series Electron 9 5900X Desktop Processor",Premium,159,123.9315,19705.11
2020-09-01,A1118150201,"AQ 5000 Series Electron 8 5900X Desktop Processor",Standard,106,124.2640,13171.98
2020-09-01,A1118150202,"AQ 5000 Series Electron 8 5900X Desktop Processor",Plus,33,129.5836,4276.26
2020-09-01,A1119150203,"AQ 5000 Series Electron 8 5900X Desktop Processor",Premium,158,139.8962,22103.60
2020-09-01,A1219150301,"AQ 5000 Series Ultron 8 5900X Desktop Processor",Standard,114,135.6822,15467.77
2020-09-01,A1219150302,"AQ 5000 Series Ultron 8 5900X Desktop Processor",Plus,168,145.1474,24384.76
2020-09-01,A1219150303,"AQ 5000 Series Ultron 8 5900X Desktop Processor",Premium,153,142.9402,21869.85
2020-09-01,A1319150401,"AQ Electron 5 3600 Desktop Processor",Standard,152,149.1034,22663.72
2020-09-01,A1320150402,"AQ Electron 5 3600 Desktop Processor",Plus,112,150.2450,16827.44
2020-09-01,A1320150403,"AQ Electron 5 3600 Desktop Processor",Premium,186,160.6912,29888.56
2020-09-01,A1420150501,"AQ Electron 4 3600 Desktop Processor",Standard,87,160.5082,13964.21
2020-09-01,A1420150502,"AQ Electron 4 3600 Desktop Processor",Plus,81,169.4999,13729.49
2020-09-01,A1421150503,"AQ Electron 4 3600 Desktop Processor",Premium,84,176.4389,14820.87
2020-09-01,A1521150601,"AQ Electron 3 3600 Desktop Processor",Standard,82,186.2917,15275.92
2020-09-01,A1521150602,"AQ Electron 3 3600 Desktop Processor",Plus,168,185.4599,31157.26
2020-09-01,A1618150101,"AQ MB Elite",Standard,117,19.6485,2298.87
2020-09-01,A1618150102,"AQ MB Elite","Plus 1",141,20.4629,2885.27
2020-09-01,A1618150103,"AQ MB Elite","Plus 2",43,21.2017,911.67
2020-09-01,A1618150104,"AQ MB Elite",Premium,67,21.4489,1437.08
2020-09-01,A1718150201,"AQ MB Crossx",Standard,37,21.8879,809.85
2020-09-01,A1718150202,"AQ MB Crossx","Plus 1",102,22.8957,2335.36
2020-09-01,A1718150203,"AQ MB Crossx","Plus 2",110,27.3445,3007.90
2020-09-01,A1718150204,"AQ MB Crossx",Premium,32,28.3991,908.77
2020-09-01,A1819150301,"AQ MB Crossx 2",Standard,20,28.8615,577.23
2020-09-01,A1819150302,"AQ MB Crossx 2","Plus 1",38,31.9525,1214.20
2020-09-01,A1819150303,"AQ MB Crossx 2","Plus 2",48,32.1924,1545.24
2020-09-01,A1819150304,"AQ MB Crossx 2",Premium,84,32.2612,2709.94
2020-09-01,A1919150401,"AQ MB Lito",Standard,103,33.7609,3477.37
2020-09-01,A1919150402,"AQ MB Lito","Plus 1",144,35.0256,5043.69
2020-09-01,A1919150403,"AQ MB Lito","Plus 2",54,35.8350,1935.09
2020-09-01,A1920150404,"AQ MB Lito",Premium,81,38.9780,3157.22
2020-09-01,A2020150501,"AQ MB Lito 2",Standard,143,41.3696,5915.85
2020-09-01,A2020150502,"AQ MB Lito 2","Plus 1",115,39.3932,4530.22
2020-09-01,A2021150503,"AQ MB Lito 2","Plus 2",17,45.4377,772.44
2020-09-01,A2118150101,"AQ Master wired x1 Ms","Standard 1",537,2.9434,1580.61
2020-09-01,A2118150102,"AQ Master wired x1 Ms","Standard 2",177,3.9998,707.96
2020-09-01,A2118150103,"AQ Master wired x1 Ms","Plus 1",383,4.5295,1734.80
2020-09-01,A2118150104,"AQ Master wired x1 Ms","Plus 2",433,5.0459,2184.87
2020-09-01,A2118150105,"AQ Master wired x1 Ms","Premium 1",844,4.6904,3958.70
2020-09-01,A2118150106,"AQ Master wired x1 Ms","Premium 2",944,5.2542,4959.96
2020-09-01,A2218150201,"AQ Master wireless x1 Ms","Standard 1",129,5.4383,701.54
2020-09-01,A2218150202,"AQ Master wireless x1 Ms","Standard 2",218,6.4054,1396.38
2020-09-01,A2219150203,"AQ Master wireless x1 Ms","Plus 1",686,6.7301,4616.85
2020-09-01,A2219150204,"AQ Master wireless x1 Ms","Plus 2",749,7.3526,5507.10
2020-09-01,A2219150205,"AQ Master wireless x1 Ms","Premium 1",969,7.9813,7733.88
2020-09-01,A2219150206,"AQ Master wireless x1 Ms","Premium 2",578,8.3193,4808.56
2020-09-01,A2319150301,"AQ Gamers Ms","Standard 1",765,8.8044,6735.37
2020-09-01,A2319150302,"AQ Gamers Ms","Standard 2",537,8.9901,4827.68
2020-09-01,A2319150303,"AQ Gamers Ms","Plus 1",888,9.3977,8345.16
2020-09-01,A2319150304,"AQ Gamers Ms","Plus 2",466,10.4573,4873.10
2020-09-01,A2319150305,"AQ Gamers Ms","Premium 1",516,10.4370,5385.49
2020-09-01,A2319150306,"AQ Gamers Ms","Premium 2",200,10.8659,2173.18
2020-09-01,A2419150401,"AQ Lite Ms","Standard 1",181,11.4829,2078.40
2020-09-01,A2419150402,"AQ Lite Ms","Standard 2",218,11.2819,2459.45
2020-09-01,A2419150403,"AQ Lite Ms","Plus 1",310,10.8925,3376.68
2020-09-01,A2419150404,"AQ Lite Ms","Plus 2",144,11.6332,1675.18
2020-09-01,A2419150405,"AQ Lite Ms","Premium 1",495,12.7423,6307.44
2020-09-01,A2420150406,"AQ Lite Ms","Premium 2",302,12.2979,3713.97
2020-09-01,A2520150501,"AQ Maxima Ms","Standard 1",1036,12.0689,12503.38
2020-09-01,A2520150502,"AQ Maxima Ms","Standard 2",903,14.5267,13117.61
2020-09-01,A2520150503,"AQ Maxima Ms","Plus 1",872,14.1682,12354.67
2020-09-01,A2520150504,"AQ Maxima Ms","Plus 2",709,14.2800,10124.52
2020-09-01,A2520150505,"AQ Maxima Ms","Premium 1",497,15.1762,7542.57
2020-09-01,A2520150506,"AQ Maxima Ms","Premium 2",973,14.5677,14174.37
2020-09-01,A2620150601,"AQ Qwerty Ms","Standard 1",570,14.9013,8493.74
2020-09-01,A2620150602,"AQ Qwerty Ms","Standard 2",664,15.8102,10497.97
2020-09-01,A2620150603,"AQ Qwerty Ms","Plus 1",915,15.9792,14620.97
2020-09-01,A2620150604,"AQ Qwerty Ms","Plus 2",433,16.5491,7165.76
2020-09-01,A2620150605,"AQ Qwerty Ms","Premium 1",200,16.5882,3317.64
2020-09-01,A2620150606,"AQ Qwerty Ms","Premium 2",688,16.7850,11548.08
2020-09-01,A2720150701,"AQ Trigger Ms","Standard 1",822,17.0917,14049.38
2020-09-01,A2721150702,"AQ Trigger Ms","Standard 2",171,17.2368,2947.49
2020-09-01,A2721150703,"AQ Trigger Ms","Plus 1",331,16.9353,5605.58
2020-09-01,A2721150704,"AQ Trigger Ms","Plus 2",472,19.5860,9244.59
2020-09-01,A2721150705,"AQ Trigger Ms","Premium 1",1021,19.4042,19811.69
2020-09-01,A2721150706,"AQ Trigger Ms","Premium 2",404,20.0537,8101.69
2020-09-01,A2821150801,"AQ Lumina Ms","Standard 1",314,21.7118,6817.51
2020-09-01,A2918150101,"AQ Master wired x1","Standard 1",373,6.8991,2573.36
2020-09-01,A2918150102,"AQ Master wired x1","Standard 2",296,7.5979,2248.98
2020-09-01,A2918150103,"AQ Master wired x1","Plus 1",290,7.7693,2253.10
2020-09-01,A2918150104,"AQ Master wired x1","Plus 2",239,8.9514,2139.38
2020-09-01,A2918150105,"AQ Master wired x1","Premium 1",364,9.4650,3445.26
2020-09-01,A2918150106,"AQ Master wired x1","Premium 2",602,10.4188,6272.12
2020-09-01,A3018150201,"AQ Master wireless x1","Standard 1",649,10.7955,7006.28
2020-09-01,A3018150202,"AQ Master wireless x1","Standard 2",876,11.0524,9681.90
2020-09-01,A3018150203,"AQ Master wireless x1","Plus 1",635,12.3739,7857.43
2020-09-01,A3019150204,"AQ Master wireless x1","Plus 2",202,11.6011,2343.42
2020-09-01,A3019150205,"AQ Master wireless x1","Premium 1",260,12.0509,3133.23
2020-09-01,A3019150206,"AQ Master wireless x1","Premium 2",266,13.0018,3458.48
2020-09-01,A3119150301,"AQ Gamers ","Standard 1",560,13.5061,7563.42
2020-09-01,A3119150302,"AQ Gamers ","Standard 2",396,15.3071,6061.61
2020-09-01,A3119150303,"AQ Gamers ","Plus 1",387,16.2407,6285.15
2020-09-01,A3120150304,"AQ Gamers ","Plus 2",831,16.3792,13611.12
2020-09-01,A3120150305,"AQ Gamers ","Premium 1",609,16.3218,9939.98
2020-09-01,A3120150306,"AQ Gamers ","Premium 2",194,19.3003,3744.26
2020-09-01,A3220150401,"AQ Lite","Standard 1",197,18.4943,3643.38
2020-09-01,A3220150402,"AQ Lite","Standard 2",275,18.7947,5168.54
2020-09-01,A3220150403,"AQ Lite","Plus 1",781,18.5844,14514.42
2020-09-01,A3220150404,"AQ Lite","Plus 2",861,18.4219,15861.26
2020-09-01,A3220150405,"AQ Lite","Premium 1",224,18.9415,4242.90
2020-09-01,A3220150406,"AQ Lite","Premium 2",451,20.0066,9022.98
2020-09-01,A3320150501,"AQ Maxima","Standard 1",195,20.3908,3976.21
2020-09-01,A3320150502,"AQ Maxima","Standard 2",172,21.6988,3732.19
2020-09-01,A3320150503,"AQ Maxima","Plus 1",637,20.8733,13296.29
2020-09-01,A3320150504,"AQ Maxima","Plus 2",723,22.1341,16002.95
2020-09-01,A3320150505,"AQ Maxima","Premium 1",576,23.0844,13296.61
2020-09-01,A3320150506,"AQ Maxima","Premium 2",530,23.7678,12596.93
2020-09-01,A3420150601,"AQ Qwerty","Standard 1",375,24.5690,9213.38
2020-09-01,A3420150602,"AQ Qwerty","Standard 2",206,23.9726,4938.36
2020-09-01,A3421150603,"AQ Qwerty","Plus 1",579,26.9507,15604.46
2020-09-01,A3421150604,"AQ Qwerty","Plus 2",114,27.4152,3125.33
2020-09-01,A3421150605,"AQ Qwerty","Premium 1",417,29.8692,12455.46
2020-09-01,A3421150606,"AQ Qwerty","Premium 2",368,29.6709,10918.89
2020-09-01,A3521150701,"AQ Trigger","Standard 1",92,29.3872,2703.62
2020-09-01,A3521150702,"AQ Trigger","Standard 2",389,30.3414,11802.80
2020-09-01,A3521150703,"AQ Trigger","Plus 1",444,31.7665,14104.33
2020-09-01,A3521150704,"AQ Trigger","Plus 2",137,33.6246,4606.57
2020-09-01,A3521150705,"AQ Trigger","Premium 1",796,34.5114,27471.07
2020-09-01,A3718150101,"AQ LION x1",Standard,34,16.5127,561.43
2020-09-01,A3718150102,"AQ LION x1","Plus 1 ",25,16.1015,402.54
2020-09-01,A3718150103,"AQ LION x1","Plus 2",28,17.5697,491.95
2020-09-01,A3718150105,"AQ LION x1",Premium,51,18.0312,919.59
2020-09-01,A3818150201,"AQ LION x2",Standard,78,17.2648,1346.65
2020-09-01,A3818150202,"AQ LION x2","Plus 1 ",87,17.5197,1524.21
2020-09-01,A3819150203,"AQ LION x2","Plus 2",88,18.4533,1623.89
2020-09-01,A3819150204,"AQ LION x2","Plus 3",28,21.1942,593.44
2020-09-01,A3819150205,"AQ LION x2",Premium,55,21.6066,1188.36
2020-09-01,A3920150301,"AQ LION x3",Standard,69,22.1454,1528.03
2020-09-01,A3920150302,"AQ LION x3","Plus 1 ",33,23.1520,764.02
2020-09-01,A3920150303,"AQ LION x3","Plus 2",79,25.4670,2011.89
2020-09-01,A3920150304,"AQ LION x3","Plus 3",75,25.0442,1878.32
2020-09-01,A3920150305,"AQ LION x3",Premium,66,27.4546,1812.00
2020-09-01,A4020150401,"AQ Mx NB",Standard,31,26.9302,834.84
2020-09-01,A4020150402,"AQ Mx NB","Plus 1 ",23,28.4500,654.35
2020-09-01,A4021150403,"AQ Mx NB","Plus 2",52,29.9423,1557.00
2020-09-01,A4021150404,"AQ Mx NB","Plus 3",75,28.5800,2143.50
2020-09-01,A4021150405,"AQ Mx NB",Premium,36,31.7029,1141.30
2020-09-01,A4118110105,"AQ Aspiron","Plus Blue",22,182.8932,4023.65
2020-09-01,A4118110106,"AQ Aspiron","Plus Red",9,187.7533,1689.78
2020-09-01,A4118110107,"AQ Aspiron","Premium Black",20,195.7721,3915.44
2020-09-01,A4218110201,"AQ Digit","Standard Grey",11,200.2732,2203.01
2020-09-01,A4218110202,"AQ Digit","Standard Blue",9,215.9341,1943.41
2020-09-01,A4218110203,"AQ Digit","Standard Red",11,236.8486,2605.33
2020-09-01,A4218110204,"AQ Digit","Plus Grey",27,232.1038,6266.80
2020-09-01,A4218110205,"AQ Digit","Plus Blue",40,240.1403,9605.61
2020-09-01,A4218110206,"AQ Digit","Plus Red",15,237.0183,3555.27
2020-09-01,A4218110207,"AQ Digit","Premium Black",26,249.1303,6477.39
2020-09-01,A4218110208,"AQ Digit","Premium Misty Green",34,243.0414,8263.41
2020-09-01,A4318110301,"AQ Velocity","Standard Grey",29,264.7000,7676.30
2020-09-01,A4319110302,"AQ Velocity","Standard Blue",38,267.2091,10153.95
2020-09-01,A4319110303,"AQ Velocity","Standard Red",36,261.2305,9404.30
2020-09-01,A4319110304,"AQ Velocity","Plus Grey",40,267.0636,10682.54
2020-09-01,A4319110305,"AQ Velocity","Plus Blue",23,277.8079,6389.58
2020-09-01,A4319110306,"AQ Velocity","Plus Red",29,275.8194,7998.76
2020-09-01,A4419110401,"AQ Elite","Standard Grey",9,271.3471,2442.12
2020-09-01,A4419110402,"AQ Elite","Standard Blue",37,281.9504,10432.16
2020-09-01,A4419110403,"AQ Elite","Standard Red",16,288.0503,4608.80
2020-09-01,A4419110404,"AQ Elite","Plus Grey",29,286.8973,8320.02
2020-09-01,A4419110405,"AQ Elite","Plus Blue",15,291.2071,4368.11
2020-09-01,A4419110406,"AQ Elite","Plus Red",9,287.5666,2588.10
2020-09-01,A4419110407,"AQ Elite","Premium Black",12,287.4934,3449.92
2020-09-01,A4419110408,"AQ Elite","Premium Misty Green",19,297.0277,5643.53
2020-09-01,A4519110501,"AQ Gen X","Standard Grey",31,311.8396,9667.03
2020-09-01,A4519110502,"AQ Gen X","Standard Blue",40,300.3378,12013.51
2020-09-01,A4519110503,"AQ Gen X","Standard Red",21,306.9189,6445.30
2020-09-01,A4520110504,"AQ Gen X","Plus Grey",22,341.7343,7518.15
2020-09-01,A4520110505,"AQ Gen X","Plus Blue",24,325.2156,7805.17
2020-09-01,A4520110506,"AQ Gen X","Plus Red",35,325.2561,11383.96
2020-09-01,A4520110507,"AQ Gen X","Premium Black",29,322.9426,9365.34
2020-09-01,A4520110508,"AQ Gen X","Premium Misty Green",28,327.0930,9158.60
2020-09-01,A4620110601,"AQ Gen Y","Standard Grey",31,347.2474,10764.67
2020-09-01,A4620110602,"AQ Gen Y","Standard Blue",10,346.6886,3466.89
2020-09-01,A4620110603,"AQ Gen Y","Standard Red",8,366.0459,2928.37
2020-09-01,A4620110604,"AQ Gen Y","Plus Grey",11,353.0982,3884.08
2020-09-01,A4620110605,"AQ Gen Y","Plus Blue",16,349.2525,5588.04
2020-09-01,A4620110606,"AQ Gen Y","Plus Red",33,348.5375,11501.74
2020-09-01,A4620110607,"AQ Gen Y","Premium Black",20,347.8030,6956.06
2020-09-01,A4620110608,"AQ Gen Y","Premium Misty Green",27,363.0630,9802.70
2020-09-01,A4720110701,"AQ GEN Z","Standard Grey",10,367.7335,3677.34
2020-09-01,A4720110702,"AQ GEN Z","Standard Blue",17,371.4027,6313.85
2020-09-01,A4721110703,"AQ GEN Z","Standard Red",13,361.6496,4701.44
2020-09-01,A4721110704,"AQ GEN Z","Plus Grey",38,380.2153,14448.18
2020-09-01,A4721110705,"AQ GEN Z","Plus Blue",11,377.4069,4151.48
2020-09-01,A4918110101,"AQ BZ 101","Standard Grey",13,419.1936,5449.52
2020-09-01,A4918110102,"AQ BZ 101","Standard Blue",10,451.4881,4514.88
2020-09-01,A4918110103,"AQ BZ 101","Premium Black",28,428.1451,11988.06
2020-09-01,A4918110104,"AQ BZ 101","Premium Misty Green",15,460.2805,6904.21
2020-09-01,A5018110201,"AQ BZ Compact","Standard Grey",17,451.7049,7678.98
2020-09-01,A5018110202,"AQ BZ Compact","Standard Blue",16,462.5568,7400.91
2020-09-01,A5018110203,"AQ BZ Compact","Standard Red",10,452.1420,4521.42
2020-09-01,A5018110204,"AQ BZ Compact","Plus Grey",14,447.7337,6268.27
2020-09-01,A5018110205,"AQ BZ Compact","Plus Blue",24,486.1763,11668.23
2020-09-01,A5018110206,"AQ BZ Compact","Plus Red",27,475.5544,12839.97
2020-09-01,A5018110207,"AQ BZ Compact","Premium Black",17,475.1904,8078.24
2020-09-01,A5019110208,"AQ BZ Compact","Premium Misty Green",19,467.3047,8878.79
2020-09-01,A5119110301,"AQ BZ Gen Y","Standard Grey",10,479.0441,4790.44
2020-09-01,A5119110302,"AQ BZ Gen Y","Standard Blue",24,474.3132,11383.52
2020-09-01,A5119110303,"AQ BZ Gen Y","Standard Red",23,474.3154,10909.25
2020-09-01,A5119110305,"AQ BZ Gen Y","Plus Blue",7,483.3813,3383.67
2020-09-01,A5119110306,"AQ BZ Gen Y","Plus Red",26,486.4857,12648.63
2020-09-01,A5119110307,"AQ BZ Gen Y","Premium Black",27,516.4580,13944.37
2020-09-01,A5119110308,"AQ BZ Gen Y","Premium Misty Green",9,512.5811,4613.23
2020-09-01,A5219110401,"AQ BZ Gen Z","Standard Grey",27,506.9644,13688.04
2020-09-01,A5219110402,"AQ BZ Gen Z","Standard Blue",20,490.1582,9803.16
2020-09-01,A5219110403,"AQ BZ Gen Z","Standard Red",12,525.8042,6309.65
2020-09-01,A5219110405,"AQ BZ Gen Z","Plus Blue",11,521.2603,5733.86
2020-09-01,A5219110406,"AQ BZ Gen Z","Plus Red",18,550.4597,9908.27
